date,open,high,low,close,volume,daily_return,rolling_avg_5d_close,rolling_vol_5d
1999-11-08,87.75,97.73,86.75,96.37,8490400.0,0.09126939191484551,86.01,0.030052911383557163
1999-11-09,94.37,94.5,88.0,89.62,7224800.0,-0.07004254436027813,87.884,0.06015296613246112
1999-11-10,88.25,93.25,88.12,91.44,5159800.0,0.02030796697165793,89.872,0.060028721514964
1999-11-11,91.59,92.62,89.87,92.25,2460400.0,0.008858267716535417,91.598,0.0604257737788224
1999-11-12,91.94,92.0,87.37,90.62,2491600.0,-0.01766937669376689,92.06,0.05878983977313117
1999-11-15,89.62,92.87,88.5,89.44,2460400.0,-0.013021408077687147,90.674,0.03483616866697277
1999-11-16,90.0,91.75,88.5,91.19,2460400.0,0.0195661896243291,90.988,0.01796094370767366
1999-11-17,90.69,94.75,90.0,90.25,3255100.0,-0.0103081478232262,90.75,0.015950729218351
1999-11-18,91.06,91.12,88.44,89.62,3257000.0,-0.006980609418282491,90.224,0.014646866713490777
1999-11-19,89.5,92.87,88.06,92.44,2790300.0,0.03146619058245914,90.588,0.02007248599413565
1999-11-22,91.75,91.75,89.25,90.62,2460400.0,-0.01968844655993074,90.824,0.021656806532641744
1999-11-23,91.75,95.25,88.5,92.81,4851000.0,0.02416685058485979,91.148,0.022622839735196243
1999-11-24,93.0,95.0,91.69,94.69,2460400.0,0.020256437883848566,92.036,0.022001789239755796
1999-11-26,94.75,95.5,94.12,95.06,2460400.0,0.003907487591086722,93.124,0.020400843381004636
1999-11-29,94.25,99.75,93.25,94.56,4144300.0,-0.005259835893120179,93.548,0.018135469406108357
1999-11-30,98.12,103.75,97.37,97.87,7528400.0,0.03500423011844345,94.998,0.016151191589207158
1999-12-01,101.0,104.5,100.06,103.06,5522900.0,0.053029528966997086,97.048,0.023470960684266958
1999-12-02,103.12,110.62,101.75,110.19,5065700.0,0.06918300019406165,100.148,0.03165401236622484
1999-12-03,112.19,115.56,111.87,115.0,5785000.0,0.043651874035756544,104.13600000000001,0.027858150688654507
1999-12-06,114.56,117.31,111.44,116.0,4167700.0,0.008695652173912993,108.424,0.022479863809328794
1999-12-07,116.56,118.0,114.0,117.81,3973400.0,0.01560344827586202,112.41199999999999,0.02544874705238208
1999-12-08,116.25,117.87,109.5,110.06,3681700.0,-0.06578388931330104,113.81199999999998,0.050794214100479684
1999-12-09,111.0,111.0,100.87,105.25,7635700.0,-0.043703434490278026,112.824,0.04504726597740763
1999-12-10,105.31,109.25,99.0,103.0,5694300.0,-0.02137767220902609,110.424,0.03443232163938705
1999-12-13,102.39,102.5,98.94,99.0,4731800.0,-0.03883495145631066,107.024,0.030401439063421708
1999-12-14,98.37,99.75,94.75,94.87,3891700.0,-0.04171717171717171,102.436,0.015839439401477893
1999-12-15,93.25,97.25,91.06,97.0,5562300.0,0.022451776114683186,99.824,0.02777057375500413
1999-12-16,98.0,98.37,94.0,98.31,4141300.0,0.013505154639175343,98.436,0.029670980851837486
